id,name,image_url,set,rarity,type,version
1,Hiruzen Sarutobi,https://ekfwchaoknmsfpqocwsg.supabase.co/storage/v1/object/public/MythosCards%201%20edition/01_C_Hiruzen_Professor-ccg.webp,Prima Edizione,C,Ninja,
2,Hiruzen Sarutobi,https://ekfwchaoknmsfpqocwsg.supabase.co/storage/v1/object/public/MythosCards%201%20edition/02_UC_Hiruzen_Hokage-ccg.webp,Prima Edizione,UC,Ninja,
3,Tsunade,https://ekfwchaoknmsfpqocwsg.supabase.co/storage/v1/object/public/MythosCards%201%20edition/03_C_Tsunade_Master-ccg.webp,Prima Edizione,C,Ninja,
4,Tsunade,https://ekfwchaoknmsfpqocwsg.supabase.co/storage/v1/object/public/MythosCards%201%20edition/04_UC_Tsunade_Reserve-Seal-ccg.webp,Prima Edizione,UC,Ninja,
5,Shizune,https://ekfwchaoknmsfpqocwsg.supabase.co/storage/v1/object/public/MythosCards%201%20edition/05_C_Shizune_Assistant-ccg.webp,Prima Edizione,C,Ninja,
6,Shizune,https://ekfwchaoknmsfpqocwsg.supabase.co/storage/v1/object/public/MythosCards%201%20edition/06_UC_Shizune_Needle_Shot-ccg.webp,Prima Edizione,UC,Ninja,
7,Jiraiya,https://ekfwchaoknmsfpqocwsg.supabase.co/storage/v1/object/public/MythosCards%201%20edition/07_C_Jiraiya_Toad_Sage-ccg.webp,Prima Edizione,C,Ninja,
8,Jiraiya,https://ekfwchaoknmsfpqocwsg.supabase.co/storage/v1/object/public/MythosCards%201%20edition/08_UC_Jiraiya_Dark_Swamp-ccg.webp,Prima Edizione,UC,Ninja,
9,Naruto Uzumaki,https://ekfwchaoknmsfpqocwsg.supabase.co/storage/v1/object/public/MythosCards%201%20edition/09_C_Naruto_Genin-ccg.webp,Prima Edizione,C,Ninja,
0,Naruto Uzumaki,https://ekfwchaoknmsfpqocwsg.supabase.co/storage/v1/object/public/MythosCards%201%20edition/0_L_Naruto-ccg.webp,Prima Edizione,L,Ninja,
